"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"9/8/2014 15:28:24","Chile","96D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","No","1-2 minutos","Demostraciones, Vídeos","No","Si","manual","medio","no recomendaría",3,"no recomendaría","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","No","hilo dental","1 vez al día","No",2013,1,,,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","Falta de experiencia, pacientes olvidan los consejos proporcionados",
1,"9/8/2014 15:49:49","Chile","162E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3 meses",3,"3-5","no recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","0-4","No","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/8/2014 16:42:34","Chile","136E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","1-2 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","cuando las cerdas estén abiertas",3,1,"no recomendaría","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",,"Muy de acuerdo","5-9","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","Si","Falta de experiencia",
1,"9/8/2014 18:52:36","Chile","103E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal","Si","Si","manual","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","Si","hilo dental","no recomendaría","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","0-4","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 21:16:57","Chile","138E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","no recomendaría",3,"no recomendaría","no recomendaría","Si","con fluor","1000-1500","no recomendaría","parcialmente","Si","hilo dental","2-3 veces a la semana","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Experiencia con pacientes propios","Si","No","Falta de experiencia",
1,"9/9/2014 14:35:21","Chile","47E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","No","Falta de experiencia",
1,"9/11/2014 10:32:05","Chile","117D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","No","8 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",3,"5 - 10","no recomendaría","Si","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","hilo dental","1 vez al día","Si",2006,8,,,,"En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","5-9","Si","Experiencia con pacientes propios","Si","No","Falta de experiencia, pacientes olvidan los consejos proporcionados",
1,"9/14/2014 16:23:26","Chile","2D","Dentista","cuando usted sienta que es necesario","ocasionalmente","No","1-2 minutos","Comunicación verbal","No","Si","manual","no recomendaría","post operatorio","no recomendaría","no recomendaría","no recomendaría","Si","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","hilo dental","con cada cepillado ","No",2005,9,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales","Si","No","no realizo odontología general",
1,"9/14/2014 17:27:26","Chile","218E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"3-5","no recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","parcialmente","Si","hilo dental","2-3 veces a la semana","Si",,,,6,,"De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","Falta de experiencia",
1,"9/14/2014 20:46:02","Chile","79E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","no recomendaría","3 meses",3,"no recomendaría","no recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","con cada cepillado ","Si",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","Si","Falta de enseñanza, Falta de experiencia",
1,"9/14/2014 21:12:50","Chile","85E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal","Si","Si","manual","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","Si","hilo dental","no recomendaría","No",,,,5,,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","20 y más","Si","Clases teóricas","Si","Si","Falta de enseñanza",
1,"9/14/2014 21:36:21","Chile","119E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,3,"no recomendaría","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/14/2014 21:45:00","Chile","120E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3 meses",3,2,"no recomendaría","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","ambos","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/14/2014 21:50:57","Chile","1E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"no recomendaría","no recomendaría","Si","con fluor","1000-1500","no recomendaría","recomendaría","Si","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 21:52:49","Chile","2E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"no recomendaría","no recomendaría","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 22:42:08","Chile","12E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","no recomendaría",3,"3-5","no recomendaría","Si","con fluor","1000-1500","no recomendaría","no recomendaría","Si","hilo dental","1 vez al día","Si",,,,5,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","0-4","Si",,"Si","Si",,
1,"9/14/2014 22:47:15","Chile","14E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","Si","No","recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","con fluor","1000-1500","mas que tamaño arveja, menos que 1/2 cabeza","escupir la pasta de dientes, pero no enjuagar","No","ambos","con cada cepillado ","Si",,,,5,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si","Falta de experiencia",
1,"9/14/2014 23:37:29","Chile","52D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Instrucciones escritas","Si","Si","manual","medio","1-3 meses","después de cada comida",3,"no recomendaría","Si","con fluor","no recomendaría","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","3 veces al día","No",1978,36,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","20 y más","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 0:32:14","Chile","66D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","no recomendaría","3 meses","después de cada comida",3,"no recomendaría","Si","con fluor","1000-1500","no recomendaría","no recomendaría","Si","ambos","1 vez al día","No",2013,1,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:46:20","Chile","28D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones","No","Si","manual","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","No","no recomendaría","no recomendaría","no recomendaría","no recomendaría","Si","ambos","1 vez al día","Si",1983,31,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/15/2014 0:48:33","Chile","27D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","en la primera y última cita del plan de tratamiento","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3-6 meses",3,"3-5","no recomendaría","Si","con fluor","no recomendaría","1/2 cabeza del cepillo","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","No",1983,31,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","No","Clases teóricas","No","No","Falta de conocimiento",
1,"9/15/2014 0:53:35","Chile","25D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",4,"5 - 10","no recomendaría","Si","con fluor","depende del paciente","mas que tamaño arveja, menos que 1/2 cabeza","enjuagar la pasta de dientes con agua",,"hilo dental","con cada cepillado ","Si",2007,7,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","10-19","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:55:23","Chile","24D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","Si","Si","manual","medio","3 meses",3,"3-5","no recomendaría","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","no recomendaría","1 vez al día","No",2010,4,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:14:06","Chile","28E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","recomendaría","pequeño","3 meses","no recomendaría","3-5","no recomendaría","Si","con fluor","depende del paciente","tamaño arveja ","no recomendaría","Si","ambos","2 veces al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 1:19:11","Chile","12D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","No","1-2 minutos","Comunicación verbal","No","No","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","no recomendaría","No","con fluor",2500,"no recomendaría","no recomendaría","No","no recomendaría","no recomendaría","No",1997,17,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/1/2014 10:20:47","Chile","99E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"no recomendaría","recomendaría","Si","con fluor","recomendaría","recomendaría","no recomendaría","Si","hilo dental","3 veces al día","Si",,,,5,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si","Falta de enseñanza, Falta de experiencia",
1,"9/8/2014 11:31:50","Chile","23E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3 meses",3,"recomendaría","recomendaría","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/9/2014 12:19:40","Chile","58E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas",,"Si","manual","medio","3 meses","después de cada comida","3-5","recomendaría","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/13/2014 19:13:23","Chile","69D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","pequeño","1-3 meses",3,"recomendaría","recomendaría","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",2001,13,,,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 20:53:22","Chile","80E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"no recomendaría","recomendaría","Si","recomendaría","recomendaría","recomendaría","no recomendaría","Si","hilo dental","recomendaría ","Si",,,,5,,"Muy de acuerdo","Muy en desacuerdo",,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 23:33:48","Chile","111E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones","No","Si","manual","medio","3 meses",3,"recomendaría","recomendaría","Si","con fluor","recomendaría","recomendaría","recomendaría","Si","hilo dental","no recomendaría","No",,,,5,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo",,"Muy de acuerdo","10-19","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 0:00:05","Chile","57D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","recomendaría","recomendaría","no recomendaría",2,2,"recomendaría","Si","con fluor","recomendaría","recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","recomendaría","2-3 veces a la semana","No",1998,16,,,,"De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo",,"Muy de acuerdo","10-19","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","No","dificultad de cambiar hábitos en el paciente",
1,"9/15/2014 0:03:14","Chile","58D","Dentista","cuando usted sienta que es necesario","en cada cita","No","10 minutos o más","Comunicación verbal","No","Si","manual","pequeño","3 meses",3,"3-5","recomendaría","Si","con fluor","1000-1500","recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",2012,2,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","20 y más","Si","Clases teóricas","Si","Si",,
1,"9/15/2014 0:06:40","Chile","59D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","medio","cuando las cerdas estén abiertas","después de cada comida",">10","recomendaría","No","con fluor",5000,"menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",1985,29,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:12:15","Chile","60D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3-6 meses","después de cada comida","3-5","recomendaría","Si","con fluor","1000-1500","mas que tamaño arveja, menos que 1/2 cabeza","parcialmente","Si","hilo dental","Al menos 1 vez al día","Si",1995,19,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"8/29/2014 15:48:57","Chile","98D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","stillman","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",2013,1,,,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Experiencia con pacientes propios","Si","No","Falta de experiencia, falta de compromiso del paciente",
1,"9/11/2014 12:43:48","Chile","106D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Demostraciones, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","stillman","Si","con fluor",5000,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","2-3 veces a la semana","Si",2012,2,,,,"De acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","No","Falta de conocimiento, falta de cooperacion de los pacientes",
1,"9/11/2014 16:48:24","Chile","76D","Dentista","cuando usted sienta que es necesario","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3-6 meses",2,"recomendaría","stillman","Si","con fluor","1000-1500","1/2 cabeza del cepillo","enjuagar la pasta de dientes con agua","Si","hilo dental","1 vez al día","No",1997,17,,,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Experiencia con pacientes propios","Si","Si",,
